lng,lat,avg_tmpr_c,wthr_date,city,country
-102.278,39.299,16.35,2022-08-06,Burlington,US
2.319,48.838,6.74,2021-10-22,Paris,FR
-89.792,35.206,24.86,2022-08-13,Memphis,US
-1.124,37.982,18.75,2022-08-29,Norcross,US
-76.548,38.976,25.21,2022-09-26,Annapolis,US
4.989,52.359,17.51,2022-08-16,Amsterdam,NL
2.302,48.848,11.48,2021-10-26,Paris,FR
-84.871,35.210,25.52,2022-08-03,Cleveland,US
-0.077,51.525,11.90,2021-10-15,London,GB
-0.215,51.493,15.93,2022-07-31,London,GB
2.290,48.836,7.07,2021-10-22,Paris,FR
2.298,48.852,19.48,2022-08-14,Paris,FR
2.329,48.818,10.93,2021-10-02,Paris,FR
-118.024,33.832,24.48,2022-08-27,Cypress,US
-80.854,28.552,23.19,2021-10-25,Titusville,US
-122.506,37.944,15.43,2022-08-05,Larkspur,US
2.369,48.864,19.77,2022-08-14,Paris,FR
2.361,48.864,19.19,2022-08-14,Paris,FR
-76.176,39.987,20.13,2022-08-25,Strasburg,US
-122.212,39.527,28.61,2022-09-09,Willows,US
-0.150,51.504,14.34,2022-09-22,London,GB
2.297,48.877,6.87,2021-10-21,Paris,FR
-112.067,33.455,33.94,2022-08-11,Phoenix,US
2.369,48.855,11.07,2021-10-02,Paris,FR
4.880,52.363,13.70,2021-10-01,Amsterdam,NL
-0.124,51.511,11.97,2021-10-15,London,GB
4.887,52.372,16.59,2022-08-10,Amsterdam,NL
9.154,45.461,24.33,2022-08-05,Milan,IT
-114.305,48.182,18.15,2022-09-10,Kalispell,US
2.336,48.874,10.88,2021-10-30,Paris,FR
-76.563,39.398,20.97,2021-10-17,Parkville,US
-123.040,44.084,18.26,2022-09-07,Springfield,US
-0.161,51.515,15.95,2022-08-06,London,GB
-82.859,41.525,16.55,2022-09-28,Port Clinton,US
2.141,41.380,17.37,2021-10-27,Barcelona,ES
2.361,48.871,8.68,2021-10-12,Paris,FR
-79.703,41.178,13.35,2021-10-07,Emlenton,US
9.148,45.492,17.88,2022-09-11,Milan,IT
-77.560,36.707,10.40,2021-10-25,Emporia,US
-97.435,32.735,24.69,2021-10-03,Fort Worth,US
9.213,45.480,11.83,2021-10-15,Milan,IT
-80.100,26.174,30.58,2022-08-30,Fort Lauderdale,US
2.308,48.854,18.01,2022-08-17,Paris,FR
-89.997,35.142,26.02,2022-09-16,Memphis,US
2.327,48.857,10.35,2021-10-02,Paris,FR
2.328,48.844,6.63,2021-10-22,Paris,FR
1.154,41.084,25.56,2022-07-31,Stone Creek,US
-118.309,33.886,20.76,2021-10-07,Gardena,US
4.877,52.350,13.26,2021-10-01,Amsterdam,NL
-0.117,51.501,15.93,2022-07-31,London,GB
9.194,45.467,24.09,2022-08-05,Milan,IT
-77.045,38.805,20.00,2021-10-16,Alexandria,US
-91.596,44.844,18.40,2022-08-26,Eau Claire,US
-0.077,51.511,10.34,2022-09-18,London,GB
-107.603,36.892,14.86,2021-10-15,Navajo Dam,US
2.343,48.874,17.24,2022-09-03,Paris,FR
-0.143,51.522,15.25,2022-08-06,London,GB
